Country Name,Capitol City,Population,GDP,Area,Happiness Index,GDPPC,APC
Tanzania,Dodoma,59734218,62409709111,945087,3.694,1044.789924,0.015821535
Poland,Warsaw,37846611,5.97E+11,312679,6.26,15774.1997,0.008261744
Uruguay,Montevideo,3473730,53628827440,181034,6.494,15438.39833,0.052115162
Sweden,Stockholm,10099265,5.41E+11,450295,7.395,53568.25472,0.044586908
France,Paris,65273511,2.63E+12,551695,6.661,40291.99532,0.00845205
Kenya,Nairobi,53771296,1.01E+11,580367,4.487,1878.325566,0.010793249
Georgia,Tbilisi,3989167,15846489611,69700,5.109,3972.380603,0.017472319
Ireland,Dublin,4937786,4.26E+11,70273,6.911,86273.4837,0.014231682
Chad,N'Djamena,16425864,10829076802,1284000,4.397,659.2698443,0.078169404
Panama,Panama City,4314767,53977036995,75417,6.265,12509.83819,0.017478812
Norway,Oslo,5421241,3.62E+11,323802,7.315,66774.37878,0.059728391
Colombia,Bogota,50882891,2.71E+11,1141748,5.63,5325.955241,0.022438741
Brazil,Brasilia,212559417,1.44E+12,8515767,6.124,6774.576353,0.040062996
Cambodia,Phnom Penh,16718965,25808561551,181035,4.393,1543.669812,0.010828122
Philippines,Manila,109581078,3.61E+11,342353,5.523,3294.364379,0.003124198
New Zealand,Wellington,4822233,2.11E+11,270467,7.123,43755.66257,0.056087501
Honduras,Tegucigalpa,9904607,23662231634,112492,6.023,2389.012672,0.011357543
Ethiopia,Addis Ababa,114963588,1.08E+11,1104300,4.091,939.4278822,0.00960565
Zimbabwe,Harare,14862924,18051170799,390757,3.204,1214.510065,0.026290722
Niger,Niamey,24206644,13741378450,1267000,4.501,567.6697046,0.052341002
Dominican Republic,Santo Domingo,10847910,78844702329,48671,5.569,7268.19289,0.004486671
Myanmar,Nay Pyi Taw,54409800,79852046611,676578,4.372,1467.604119,0.012434855
China,Beijing,1439323776,1.47E+13,9706961,5.818,10213.12942,0.006744112
Bangladesh,Dhaka,164689383,3.23E+11,147570,4.282,1961.267898,0.00089605
Uzbekistan,Tashkent,33469203,59929951114,447400,6.014,1790.599887,0.013367513
Hungary,Budapest,9660351,1.56E+11,93028,6.041,16148.48156,0.009629878
United States,Washington,331002651,2.10E+13,9372610,6.894,63443.60064,0.028315816
Ecuador,Quito,17643054,98808010000,276841,5.559,5600.39152,0.015691218
Russia,Moscow,145934462,1.48E+12,17098242,5.661,10141.53874,0.11716384
Costa Rica,San Jose,5094118,61846895121,51100,6.609,12140.84462,0.010031177
Peru,Lima,32971854,2.02E+11,1285216,5.526,6126.437415,0.038979185
Thailand,Bangkok,69799978,5.02E+11,513120,5.843,7191.979344,0.007351292
Mexico,Mexico City,128932753,1.07E+12,1964375,6.33,8298.899815,0.015235655
Cameroon,Yaounde,26545863,40804449726,475442,4.973,1537.130276,0.017910211
Iceland,Reykjavik,341243,21718075725,103000,7.53,63644.01827,0.301837693
Germany,Berlin,83783942,3.85E+12,357114,6.892,45951.52613,0.00426232
Togo,Lome,8278724,7574636979,56785,4.137,914.9522292,0.006859149
